MANAGER_PERSON_NUMBER;CONTEST_CODE;TOURNAMENT_CODE;CONTEST_DATE;PLAN_VALUE;FACT_VALUE;priority_type
00000000000999031202;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;2400000000.00000;1
00000000000999086564;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;2058692000.00000;1
00000000000999079681;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;1200000000.00000;1
00000000000999086767;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;1050000000.00000;1
00000000000999080465;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;850000000.00000;1
00000000000999017256;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;788000000.00000;1
00000000000999063115;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;646000000.00000;1
00000000000999086130;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;474000000.00000;1
00000000000999031396;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;340000000.00000;1
00000000000999087399;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;300000000.00000;1
00000000000999089041;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;300000000.00000;1
00000000000999066987;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;259700000.00000;1
00000000000999087142;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;250000000.00000;1
00000000000999090514;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;150000000.00000;1
00000000000999086919;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;150000000.00000;1
00000000000999080318;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;125000000.00000;1
00000000000999067862;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;120000000.00000;1
00000000000999086156;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;116000000.00000;1
00000000000999088168;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;100000000.00000;1
00000000000999061039;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;50000000.00000;1
00000000000999085225;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;45000000.00000;1
00000000000999088503;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;20000000.00000;1
00000000000999013772;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;0.00000;1
00000000000999054904;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;0.00000;1
00000000000999091107;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;0.00000;1
00000000000999083417;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;0.00000;1
00000000000999085888;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;0.00000;1
00000000000999080906;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-16;0.00000;0.00000;1
00000000000999083497;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-16;0.00000;74669764.45218;1
00000000000999082274;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-16;0.00000;47056239.17897;1
00000000000999009960;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-16;0.00000;19401900.53436;1
00000000000999063698;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-16;0.00000;17423351.44667;1
00000000000999087337;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-16;0.00000;10434622.63885;1
00000000000999020202;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-16;0.00000;8506871.81333;1
00000000000999012756;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-16;0.00000;6340679.80654;1
00000000000999042826;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-16;0.00000;1484967.72115;1
00000000000999025250;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-16;0.00000;559591.01769;1
00000000000999044062;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-16;0.00000;19060.55744;1
00000000000999090205;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-16;0.00000;9887.17256;1
00000000000999086501;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-16;0.00000;0.00000;1
00000000000999013415;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-16;0.00000;0.00000;1
00000000000999069606;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-16;0.00000;0.00000;1
00000000000999013306;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-16;0.00000;0.00000;1
00000000000999091875;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-16;0.00000;0.00000;1
00000000000999090581;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-16;0.00000;0.00000;1
00000000000999089530;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-16;0.00000;0.00000;1
00000000000999081931;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-16;0.00000;0.00000;1
00000000000999086279;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-16;0.00000;0.00000;1
00000000000999075134;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-16;0.00000;0.00000;1
00000000000999010631;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-16;0.00000;0.00000;1
00000000000999047562;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2031;2025-09-16;0.00000;280386099.54897;1
00000000000999083505;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2031;2025-09-16;0.00000;105085404.61256;1
00000000000999079588;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2031;2025-09-16;0.00000;101559289.31026;1
00000000000999030768;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2031;2025-09-16;0.00000;94008057.12744;1
00000000000999056339;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2031;2025-09-16;0.00000;82288572.13538;1
00000000000999080181;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2031;2025-09-16;0.00000;37207366.16949;1
00000000000999067665;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2031;2025-09-16;0.00000;28302778.89218;1
00000000000999086462;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2031;2025-09-16;0.00000;27301388.25205;1
00000000000999054644;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2031;2025-09-16;0.00000;18508546.41231;1
00000000000999085286;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2031;2025-09-16;0.00000;10147908.50782;1
00000000000999088066;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2031;2025-09-16;0.00000;5876057.69744;1
00000000000999044397;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2031;2025-09-16;0.00000;1538461.53846;1
00000000000999091654;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2031;2025-09-16;0.00000;0.00000;1
00000000000999091048;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2031;2025-09-16;0.00000;0.00000;1
00000000000999063216;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2031;2025-09-16;0.00000;7.17000;1
00000000000999080600;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2031;2025-09-16;0.00000;6.99000;1
00000000000999068683;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2031;2025-09-16;0.00000;6.75000;1
00000000000999068183;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2031;2025-09-16;0.00000;6.70000;1
00000000000999080165;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2031;2025-09-16;0.00000;6.55000;1
00000000000999084589;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2031;2025-09-16;0.00000;5.95000;1
00000000000999036748;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2031;2025-09-16;0.00000;5.89000;1
00000000000999084038;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2031;2025-09-16;0.00000;5.78000;1
00000000000999082385;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2031;2025-09-16;0.00000;5.60000;1
00000000000999082408;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2031;2025-09-16;0.00000;5.35000;1
00000000000999086933;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2031;2025-09-16;0.00000;4.55000;1
00000000000999084400;04_2025-0_15-2_1;t_04_2025-0_15-2_1_2031;2025-09-16;0.00000;1.80379;1
00000000000999030878;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2031;2025-09-16;0.00000;6.09000;1
00000000000999080116;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2031;2025-09-16;0.00000;6.01000;1
00000000000999083547;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2031;2025-09-16;0.00000;5.77000;1
00000000000999083548;04_2025-0_15-2_2;t_04_2025-0_15-2_2_2031;2025-09-16;0.00000;5.66000;1
