MANAGER_PERSON_NUMBER;CONTEST_CODE;TOURNAMENT_CODE;CONTEST_DATE;PLAN_VALUE;FACT_VALUE;priority_type
00000000000999031202;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;2150000000.00000;1
00000000000999063115;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;1546000000.00000;1
00000000000999079681;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;1145000000.00000;1
00000000000999086767;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;1070000000.00000;1
00000000000999086564;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;938700000.00000;1
00000000000999080465;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;850000000.00000;1
00000000000999017256;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;818000000.00000;1
00000000000999085888;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;708500000.00000;1
00000000000999087399;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;600000000.00000;1
00000000000999086130;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;474000000.00000;1
00000000000999087142;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;450000000.00000;1
00000000000999066987;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;409700000.00000;1
00000000000999031396;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;340000000.00000;1
00000000000999067862;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;320000000.00000;1
00000000000999089041;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;300000000.00000;1
00000000000999090514;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;150000000.00000;1
00000000000999086919;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;150000000.00000;1
00000000000999080318;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;125000000.00000;1
00000000000999086156;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;116000000.00000;1
00000000000999088168;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;100000000.00000;1
00000000000999085225;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;71000000.00000;1
00000000000999061039;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;50000000.00000;1
00000000000999013772;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;33500000.00000;1
00000000000999088503;04_2025-0_15-1_1;t_04_2025-0_15-1_1_2031;2025-09-30;0.00000;20000000.00000;1
00000000000999083497;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-30;0.00000;85403174.29359;1
00000000000999082274;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-30;0.00000;58242337.51174;1
00000000000999042826;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-30;0.00000;35670683.81380;1
00000000000999009960;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-30;0.00000;33298846.70761;1
00000000000999020202;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-30;0.00000;16966157.63652;1
00000000000999063698;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-30;0.00000;14771971.87870;1
00000000000999012756;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-30;0.00000;14451826.44543;1
00000000000999087337;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-30;0.00000;10762715.39424;1
00000000000999086279;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-30;0.00000;3727431.68348;1
00000000000999091875;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-30;0.00000;2477718.79391;1
00000000000999025250;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-30;0.00000;585393.90065;1
00000000000999090205;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-30;0.00000;31464.99283;1
00000000000999044062;04_2025-0_15-1_2;t_04_2025-0_15-1_2_2031;2025-09-30;0.00000;16160.03783;1
00000000000999047562;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2031;2025-09-30;0.00000;320373535.68370;1
00000000000999083505;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2031;2025-09-30;0.00000;105411173.85576;1
00000000000999056339;04_2025-0_15-1_3;t_04_2025-0_15-1_3_2031;2025-09-30;0.00000;93185986.81109;1
