CONTEST_CODE;INDICATOR_CALC_TYPE;INDICATOR_ADD_CALC_TYPE;FULL_NAME;INDICATOR_CODE;INDICATOR_AGG_FUNCTION;INDICATOR_WEIGHT;INDICATOR_OBJECT;INDICATOR_MARK_TYPE;INDICATOR_MATCH;INDICATOR_VALUE;CONTEST_CRITERION;INDICATOR_FILTER;CONTESTANT_SELECTION;CALC_TYPE;N
01_2025-1_02-2_2;1;;PULMIS_BALANCE_OUT_RUB;PULMIS_BALANCE_OUT_RUB;SUM;1;;RATING;MAX;;;"[{"""filtered_attribute_code""":"""segment_mk""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""10100""","""20201""","""20202""","""20605"""]},{"""filtered_attribute_code""":"""coa_type_id""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""41102""","""41103""","""41104""","""41402""","""41403""","""41404""","""41405""","""41502""","""41503""","""41504""","""41505""","""41506""","""41602""","""41603""","""41604""","""41605""","""41702""","""41703""","""41704""","""41705""","""41802""","""41803""","""41804""","""41805""","""41806""","""41902""","""41903""","""41904""","""41905""","""41906""","""41907""","""42002""","""42003""","""42004""","""42005""","""42006""","""42007""","""42102""","""42103""","""42104""","""42105""","""42106""","""42107""","""42109""","""42110""","""42111""","""42112""","""42113""","""42114""","""42202""","""42203""","""42204""","""42205""","""42206""","""42207""","""42502""","""42503""","""42504""","""42505""","""42506""","""42507""","""42802""","""43207""","""43707""","""43806""","""43807""","""43907""","""47426""","""47440""","""47442""","""47445""","""47453""","""47459""","""47607"""]},{"""filtered_attribute_code""":"""ccy_code""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""RUR"""]},{"""filtered_attribute_code""":"""early_termination""","""filtered_attribute_type""":"""STRING""","""filtered_attribute_match""":"""IN""","""filtered_attribute_condition""":["""0"""]},{"""filtered_attribute_code""":"""deposit_period""","""filtered_attribute_type""":"""DECIMAL (38,12)""","""filtered_attribute_match""":""">=""","""filtered_attribute_value""":31}]";;1;38
01_2025-1_02-3_1t;1;DIVIDER;PPO_ALL;PPO_ALL;SUM;1;;RATING;MAX;;;;1;0;39
01_2025-1_02-3_1t;1;NUMERATOR;PPO_IN;PPO_IN;SUM;1;;RATING;MAX;;;;1;0;40
01_2025-1_04-1_1;1;;WAIT;WAIT;;;;RATING;MIN;;;;;1;41
01_2025-1_05-1_1;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;42
01_2025-1_05-1_2t;1;;CC360_CLIENT_VOLUM_FOT_M;CC360_CLIENT_VOLUM_FOT_M;SUM;1;;RATING;MAX;;;;0;0;43
01_2025-1_07-5_1;1;;WAIT;WAIT;;;;CRITERION;>=;1;;;;1;44
01_2025-1_07-5_10;1;;WAIT;WAIT;;;;CRITERION;>=;2;;;;1;45
01_2025-1_07-5_2;1;;WAIT;WAIT;;;;CRITERION;>=;1;;;;1;46
01_2025-1_07-5_3;1;;WAIT;WAIT;;;;CRITERION;>=;1;;;;1;47
01_2025-1_07-5_5;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;48
01_2025-1_07-5_6;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;49
01_2025-1_07-5_7;1;;WAIT;WAIT;;;;RATING;MAX;;;;;1;50
01_2025-1_07-5_8;1;;WAIT;WAIT;;;;CRITERION;>=;2;;;;1;51
