MANAGER_PERSON_NUMBER;CONTEST_CODE;TOURNAMENT_CODE;CONTEST_DATE;PLAN_VALUE;FACT_VALUE;priority_type
00000000000001922675;01_2025-1_07-5_1;t_01_2025-1_07-5_1_4001;2025-08-06;1000000.00000;5000000.00000;1
00000000000001729535;01_2025-1_07-5_1;t_01_2025-1_07-5_1_4001;2025-08-06;1000000.00000;4000080.00000;1
00000000000001766879;01_2025-1_07-5_1;t_01_2025-1_07-5_1_4001;2025-08-06;1000000.00000;3886500.00000;1
00000000000000412925;01_2025-1_07-5_1;t_01_2025-1_07-5_1_4001;2025-08-06;1000000.00000;3520000.00000;1
00000000000000797493;01_2025-1_07-5_1;t_01_2025-1_07-5_1_4001;2025-08-06;1000000.00000;3468800.00000;1
00000000000001451750;01_2025-1_07-5_1;t_01_2025-1_07-5_1_4001;2025-08-06;1000000.00000;2996000.00000;1
00000000000000586696;01_2025-1_07-5_1;t_01_2025-1_07-5_1_4001;2025-08-06;1000000.00000;2501000.00000;1
00000000000001299114;01_2025-1_07-5_1;t_01_2025-1_07-5_1_4001;2025-08-06;1000000.00000;2500325.00000;1
00000000000000454276;01_2025-1_07-5_1;t_01_2025-1_07-5_1_4001;2025-08-06;1000000.00000;2300000.00000;1
00000000000001390693;01_2025-1_07-5_1;t_01_2025-1_07-5_1_4001;2025-08-06;1000000.00000;2285000.00000;1
00000000000001607266;01_2025-1_07-5_1;t_01_2025-1_07-5_1_4001;2025-08-06;1000000.00000;2012000.00000;1
00000000000001474467;01_2025-1_07-5_1;t_01_2025-1_07-5_1_4001;2025-08-06;1000000.00000;2000000.00000;1
00000000000002137856;01_2025-1_07-5_1;t_01_2025-1_07-5_1_4001;2025-08-06;1000000.00000;2000000.00000;1
00000000000000953951;01_2025-1_07-5_1;t_01_2025-1_07-5_1_4001;2025-08-06;1000000.00000;2000000.00000;1
00000000000001828119;01_2025-1_07-5_1;t_01_2025-1_07-5_1_4001;2025-08-06;1000000.00000;2000000.00000;1
00000000000001710745;01_2025-1_07-5_1;t_01_2025-1_07-5_1_4001;2025-08-06;1000000.00000;1750600.00000;1
00000000000000864253;01_2025-1_07-5_1;t_01_2025-1_07-5_1_4001;2025-08-06;1000000.00000;1000000.00000;1
00000000000000866709;01_2025-1_07-5_1;t_01_2025-1_07-5_1_4001;2025-08-06;1000000.00000;1000000.00000;1
00000000000001061768;01_2025-1_07-5_1;t_01_2025-1_07-5_1_4001;2025-08-06;1000000.00000;1000000.00000;1
00000000000001753562;01_2025-1_07-5_1;t_01_2025-1_07-5_1_4001;2025-08-06;1000000.00000;1000000.00000;1
00000000000002019011;01_2025-1_07-5_1;t_01_2025-1_07-5_1_4001;2025-08-06;1000000.00000;999750.00000;1
00000000000002093549;02_2025-1_07-5_5;t_02_2025-1_07-5_5_4001;2025-08-06;0.00000;5000000.00000;1
00000000000001494536;02_2025-1_07-5_5;t_02_2025-1_07-5_5_4001;2025-08-06;0.00000;4500325.00000;1
00000000000001737744;02_2025-1_07-5_5;t_02_2025-1_07-5_5_4001;2025-08-06;0.00000;4000080.00000;1
00000000000001965819;02_2025-1_07-5_5;t_02_2025-1_07-5_5_4001;2025-08-06;0.00000;3886500.00000;1
00000000000000410544;02_2025-1_07-5_5;t_02_2025-1_07-5_5_4001;2025-08-06;0.00000;3520000.00000;1
00000000000000944960;02_2025-1_07-5_5;t_02_2025-1_07-5_5_4001;2025-08-06;0.00000;3468800.00000;1
00000000000000365399;02_2025-1_07-5_5;t_02_2025-1_07-5_5_4001;2025-08-06;0.00000;2996000.00000;1
00000000000000885390;02_2025-1_07-5_5;t_02_2025-1_07-5_5_4001;2025-08-06;0.00000;2501000.00000;1
00000000000001828736;02_2025-1_07-5_5;t_02_2025-1_07-5_5_4001;2025-08-06;0.00000;2300000.00000;1
00000000000000808975;02_2025-1_07-5_5;t_02_2025-1_07-5_5_4001;2025-08-06;0.00000;2285000.00000;1
00000000000002017547;02_2025-1_07-5_5;t_02_2025-1_07-5_5_4001;2025-08-06;0.00000;2012000.00000;1
00000000000001602589;02_2025-1_07-5_5;t_02_2025-1_07-5_5_4001;2025-08-06;0.00000;2000000.00000;1
00000000000001002510;02_2025-1_07-5_5;t_02_2025-1_07-5_5_4001;2025-08-06;0.00000;2000000.00000;1
00000000000001790619;02_2025-1_07-5_5;t_02_2025-1_07-5_5_4001;2025-08-06;0.00000;2000000.00000;1
00000000000001824064;02_2025-1_07-5_5;t_02_2025-1_07-5_5_4001;2025-08-06;0.00000;2000000.00000;1
00000000000001780823;02_2025-1_07-5_5;t_02_2025-1_07-5_5_4001;2025-08-06;0.00000;1750600.00000;1
00000000000000339719;02_2025-1_07-5_5;t_02_2025-1_07-5_5_4001;2025-08-06;0.00000;1000000.00000;1
00000000000001316331;02_2025-1_07-5_5;t_02_2025-1_07-5_5_4001;2025-08-06;0.00000;1000000.00000;1
00000000000000703445;02_2025-1_07-5_5;t_02_2025-1_07-5_5_4001;2025-08-06;0.00000;999750.00000;1
00000000000002093549;02_2025-1_07-5_8;t_02_2025-1_07-5_8_4001;2025-08-06;3.00000;1.00000;1
00000000000001494536;02_2025-1_07-5_8;t_02_2025-1_07-5_8_4001;2025-08-06;3.00000;2.00000;1
